date,score_mean,score_std,score_sum,comments_mean,comments_sum,upvote_ratio_mean,engagement_mean,engagement_std,quality_mean,quality_std,vix,sp500,vix_sp500_ratio,market_volatility,market_return,vix_return,sentiment_volatility,media_herding,news_tone,event_density,polarity_skew,sentiment_volatility_norm,media_herding_norm,news_tone_norm,event_density_norm,polarity_skew_norm,BRI,BRI_MA_7,BRI_MA_30,BRI_MA_90,BRI_volatility,BRI_volatility_volatility
2024-10-19,268.3333333333333,358.8690146794088,3220.0,90.25,1083.0,0.8308333333333332,448.8333333333333,467.9422717568586,248.90083333333334,343.5625313060553,,,,,,,720.6174361592361,1478.7142857142858,0.8308333333333332,4893.714285714285,2.4794792773747916,0.25933127764684033,0.3634791813690897,0.816123188405797,0.31031075494959753,0.9443693789857026,47.28773674584939,44.329364316027416,30.210046443485954,,10.840272549608716,
2024-11-14,103.3076923076923,166.34681102582502,2686.0,51.53846153846154,1340.0,0.8350000000000001,206.3846153846154,288.32718594306385,97.10230769230769,160.04028631085842,14.3100004196167,5949.169921875,0.0024053776589905533,14.3100004196167,-0.006049734794859041,0.020684732695029018,1933.2837682412103,1840.142857142857,0.8350000000000001,10885.714285714286,2.591212087442675,0.696720208846019,0.4527522935779817,0.8206521739130436,0.6905413735586338,0.9820637741410054,68.81221542788055,59.837315687460105,45.642801166485896,,11.001933283251622,2.162050905876028
2024-11-15,626.25,2133.3284635361083,10020.0,175.5,2808.0,0.8075,977.25,2806.54381758062,566.026875,1941.1812953000854,16.139999389648438,5870.6201171875,0.0027492835624630396,16.139999389648438,-0.013203489851361216,0.1278825238553527,1917.6100625128454,2038.0,0.8075,11958.142857142857,1.9582708884963136,0.6910669592957573,0.5016231474947072,0.7907608695652174,0.7585938066574807,0.768533517015456,68.15204712756152,63.02770871849394,46.33640000432282,,11.743777457190426,2.242960053264607
2024-11-16,361.4166666666667,618.2806744709416,4337.0,69.83333333333333,838.0,0.7975,501.0833333333333,795.1333173903872,334.2991666666667,575.8656293940664,,,,,,,1929.0137091129343,1997.857142857143,0.7975,11859.142857142857,1.968211034835914,0.6951800682905643,0.49170783345095276,0.779891304347826,0.7523116252084996,0.7718869438539899,67.74946778861465,66.1412727918444,46.98087106730841,,12.375323289271995,2.33828624336356
2024-11-17,151.875,469.33454663668925,2430.0,65.6875,1051.0,0.773125,283.25,659.0920522456125,142.345625,446.37366930960053,,,,,,,1936.2287780941863,1884.142857142857,0.773125,11498.0,1.968207255701845,0.697782425778976,0.463620324629499,0.7533967391304347,0.7293948074552179,0.7718856689180703,66.25169447272441,68.87646272143627,47.66999732886324,,12.860604968172856,2.44545666960768
2024-11-18,163.6,425.26714823557796,3272.0,66.35,1327.0,0.7975,296.3,682.3533657786659,149.56900000000002,395.7143127627091,15.579999923706055,5893.6201171875,0.00264353650454502,15.579999923706055,0.003917814394541086,-0.03469637466662756,664.0003125595372,1487.5714285714287,0.7975,4438.142857142857,2.4471511554507592,0.23891040627958762,0.36566690190543405,0.779891304347826,0.2814018420480093,0.9334631017543958,45.4624694712441,65.41264359285113,47.6091550863764,,12.866791855605884,2.5365904302575033
2024-11-19,109.6842105263158,278.41482809058715,4168.0,33.73684210526316,1282.0,0.8113157894736842,177.1578947368421,365.01718036691875,103.335,264.63625300410763,16.350000381469727,5916.97998046875,0.002763234020638762,16.350000381469727,0.003963584828470035,0.04942236595213734,669.5682092476906,1425.857142857143,0.8113157894736842,4425.571428571428,2.410122129555073,0.24091865563642245,0.350423429781228,0.794908466819222,0.28060410472115455,0.9209709185408892,45.30508550623403,61.663418992538496,47.63498926747265,,12.861173238958512,2.6237158266254266
2024-11-20,92.85714285714286,189.35479422300904,2600.0,50.107142857142854,1403.0,0.795,193.07142857142858,299.58711446495687,84.72749999999999,180.51091140970667,17.15999984741211,5917.10986328125,0.002900064430761857,17.15999984741211,2.195086225209586e-05,0.049541250583724494,690.1950455099783,1435.5714285714287,0.795,4216.142857142857,2.3626182204764037,0.24835841843687317,0.35282286520818634,0.7771739130434783,0.2673145260715063,0.9049449086415137,44.87396942166816,58.08670703084677,47.630934987449145,,12.86205309624138,2.709858279141298
2024-11-21,482.82142857142856,2162.4850597398085,13519.0,117.0,3276.0,0.865,716.8214285714286,2550.410251001336,461.92857142857144,2097.675849484137,16.8700008392334,5948.7099609375,0.0028359091214752606,16.8700008392334,0.0053404615405816536,-0.016899709251596895,865.6869167062229,1712.142857142857,0.865,5763.714285714285,1.1294841248165595,0.31165546886696677,0.421136203246295,0.8532608695652174,0.3655178040467039,0.4889324244567975,47.31537784373926,55.01573023311231,48.257877087445834,,12.345775870073773,2.770275879813333
2024-11-22,157.23076923076923,499.5627133958104,4088.0,49.80769230769231,1295.0,0.8203846153846153,256.84615384615387,662.6999738830652,148.90769230769232,476.23764519246214,15.239999771118164,5969.33984375,0.002553046093878321,15.239999771118164,0.003467959094991535,-0.0966212796103989,676.1946648230422,1496.0,0.8203846153846153,4916.285714285715,2.3355239161285386,0.243308709887179,0.3677487649964714,0.8047658862876254,0.3117430560591777,0.895804322148379,46.22248720965111,51.8829359591251,48.83164734926379,,11.80865995899994,2.809221770992573
2024-11-23,556.8965517241379,1532.341750040198,16150.0,168.6551724137931,4891.0,0.8393103448275862,894.2068965517242,1961.0861855343317,518.8206896551724,1453.3365884772359,,,,,,,750.2653377202283,2075.0,0.8393103448275862,6603.857142857143,1.2566128391382245,0.27002479129770357,0.5107621736062102,0.8253373313343327,0.41883022699253036,0.5318208114070143,48.97720622473112,49.20118430714175,49.46844342945456,,11.25308682504394,2.830956524964339
2024-11-24,286.36842105263156,474.00729137925896,5441.0,244.31578947368422,4642.0,0.8573684210526316,775.0,1267.9705569662622,256.33894736842103,430.66383505125276,,,,,,,749.9305161161933,2588.0,0.8573684210526316,7034.0,0.9079635826512779,0.26990402661606205,0.6374735356386733,0.8449656750572082,0.44612553484661693,0.41419982938179717,51.767154007110086,47.13196424062541,49.79423286437926,,11.170391318248715,2.851342608465371
2024-11-25,374.5925925925926,943.5460634167118,10114.0,78.66666666666667,2124.0,0.7811111111111111,531.925925925926,1186.7656085708795,353.9844444444444,884.4099161558919,14.600000381469727,5987.3701171875,0.0024384663208908007,14.600000381469727,0.003020480305938378,-0.041994711237550164,732.7906759264794,2701.8571428571427,0.7811111111111111,8011.428571428572,0.648115476916168,0.263721966322005,0.6655963302752292,0.7620772946859903,0.5081496120095729,0.32653697393239695,50.68072705972825,47.87742961040886,50.12981644560752,,11.035472587257894,2.8720823918798732
2024-11-26,662.3846153846154,2060.2178540518103,17222.0,229.80769230769232,5975.0,0.9019230769230769,1122.0,3053.806647448394,595.5938461538461,1834.216620450435,14.100000381469727,6021.6298828125,0.002341558789874361,14.100000381469727,0.005722005647630368,-0.0342465744476691,800.0239368847906,3372.285714285714,0.9019230769230769,9876.285714285714,0.3291901173351919,0.287971904968445,0.8311926605504587,0.8933946488294314,0.6264866922909565,0.21894370279038788,58.87360405167168,49.81578940261424,50.72465936649447,,11.008882585345223,2.8941391519515456
2024-11-27,167.82142857142858,294.4854965392314,4699.0,83.17857142857143,2329.0,0.8414285714285714,334.17857142857144,454.41105991784724,154.87535714285715,283.12955981424557,14.100000381469727,5998.740234375,0.0023504935754129694,14.100000381469727,-0.003801238017440034,0.0,780.3181296921392,3504.5714285714284,0.8414285714285714,10176.142857142857,0.43659276850119866,0.28086434230393764,0.8638673253352152,0.827639751552795,0.6455145405758212,0.2551772672314769,58.8098992145065,51.80663651587686,51.432960232258054,,10.814588665833814,2.912233298195258
2024-12-06,449.0,1043.1970411512232,13919.0,214.74193548387098,6657.0,0.8483870967741935,878.483870967742,1905.4992848939048,387.47903225806454,886.7904501679257,12.770000457763672,6090.27001953125,0.0020967872387941417,12.770000457763672,0.0024954538421815275,-0.056868501200791455,1690.340950031334,3618.714285714286,0.8483870967741935,14430.857142857143,1.8598354531840904,0.6090947039662883,0.892060691601976,0.835203366058906,0.9155032997316702,0.7353251497177135,78.36422672336836,68.60206698282506,58.85063045748955,40.52145709015014,11.082694527170556,2.2954195420589683
2024-12-07,249.79166666666666,644.7530015215242,5995.0,119.58333333333333,2870.0,0.7904166666666667,488.9583333333333,924.0545569799233,226.73083333333332,587.1545961811647,,,,,,,1647.179472493271,3796.285714285714,0.7904166666666667,14979.57142857143,1.8891367899549076,0.5935270642702647,0.9359209597741708,0.7721920289855072,0.9503227210095004,0.745210304903077,78.35462036634561,71.44321845310525,59.91973819908496,41.18223805049685,11.371603244241127,2.1038306626145378
2024-12-08,93.89285714285714,206.7280086894845,2629.0,98.03571428571429,2745.0,0.7660714285714285,289.9642857142857,599.5868010643513,77.74035714285715,170.02290966507667,,,,,,,1641.7516275380713,3934.1428571428573,0.7660714285714285,15122.142857142857,1.9130329864972568,0.5915693292850823,0.9699717713479181,0.7457298136645962,0.9593697875117848,0.753271971611619,78.8342369643353,74.96912977240511,61.02023623421864,41.86005026332335,11.555996149231625,1.870364327078714
2024-12-09,526.8928571428571,1483.7409761786366,14753.0,92.60714285714286,2593.0,0.8724999999999999,712.1071428571429,1608.6924374987311,493.2864285714286,1394.513490061875,14.1899995803833,6052.85009765625,0.002344350074996549,14.1899995803833,-0.006144213927296471,0.1111980479026784,693.3696645805535,3482.0,0.8724999999999999,10966.142857142857,0.6358004617362407,0.24950345166283855,0.8582921665490473,0.8614130434782609,0.6956450794111249,0.3223823567858873,59.8291683422023,73.0376210712201,61.48272453645335,42.32773649178662,11.20455005385739,1.5687220959858288
2024-12-10,696.6538461538462,2383.7715317086527,18113.0,113.88461538461539,2961.0,0.8942307692307693,924.4230769230769,2686.8293756482108,568.7357692307692,1840.456249531997,14.180000305175781,6034.91015625,0.002349662205076971,14.180000305175781,-0.002963883313944371,-0.0007046705780979767,835.1749560621818,3619.4285714285716,0.8942307692307693,12719.42857142857,0.16797595400001925,0.30065030322344133,0.8922371206774876,0.8850334448160536,0.8069022409166727,0.16455618337066213,62.77520145741822,71.85197001683781,62.00505241951458,42.790743252678084,10.871496345967026,1.1760226667995421
